"filename", "language", "Markdown", "CMake", "Batch", "JSON with Comments", "Shell Script", "C++", "YAML", "GLSL", "C", "comment", "blank", "total"
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\UniformBuffer.h", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 59, 6, 80
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\VertexArray.h", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 8, 8, 31
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\VertexLayout.h", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 21, 6, 46
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\shadows\CascadedShadowMap.h", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 0, 19, 13, 61
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\FrameSubmission.h", "C++", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\GpuLightData.h", "C++", 0, 0, 0, 0, 0, 47, 0, 0, 0, 56, 6, 109
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\Light.h", "C++", 0, 0, 0, 0, 0, 58, 0, 0, 0, 20, 9, 87
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\LightBlock.h", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 0, 42, 11, 82
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\LightBuilder.h", "C++", 0, 0, 0, 0, 0, 156, 0, 0, 0, 21, 8, 185
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\LightEnvironment.h", "C++", 0, 0, 0, 0, 0, 33, 0, 0, 0, 15, 11, 59
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\LightUtils.h", "C++", 0, 0, 0, 0, 0, 95, 0, 0, 0, 18, 16, 129
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\RenderItem.h", "C++", 0, 0, 0, 0, 0, 39, 0, 0, 0, 19, 10, 68
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\Scene.h", "C++", 0, 0, 0, 0, 0, 47, 0, 0, 0, 22, 21, 90
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\scene\SceneUtils.h", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 7, 7, 42
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\utils\Options.h", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 7, 35
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\app\Application.cpp", "C++", 0, 0, 0, 0, 0, 522, 0, 0, 0, 26, 92, 640
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\assets\AssetImporter.cpp", "C++", 0, 0, 0, 0, 0, 274, 0, 0, 0, 76, 64, 414
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\assets\MeshImporter.cpp", "C++", 0, 0, 0, 0, 0, 88, 0, 0, 0, 25, 27, 140
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\assets\ModelImporter.cpp", "C++", 0, 0, 0, 0, 0, 136, 0, 0, 0, 35, 34, 205
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Buffer.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 4, 10, 68
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Camera.cpp", "C++", 0, 0, 0, 0, 0, 220, 0, 0, 0, 47, 57, 324
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\CameraController.cpp", "C++", 0, 0, 0, 0, 0, 158, 0, 0, 0, 3, 24, 185
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\FrameClearInfo.cpp", "C++", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\InitContext.cpp", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 9, 58
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\KeyboardInput.cpp", "C++", 0, 0, 0, 0, 0, 73, 0, 0, 0, 3, 9, 85
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Material.cpp", "C++", 0, 0, 0, 0, 0, 86, 0, 0, 0, 9, 24, 119
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Mesh.cpp", "C++", 0, 0, 0, 0, 0, 123, 0, 0, 0, 6, 19, 148
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\MeshBuffer.cpp", "C++", 0, 0, 0, 0, 0, 75, 0, 0, 0, 2, 14, 91
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\MouseInput.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 4, 11, 69
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Primitives.cpp", "C++", 0, 0, 0, 0, 0, 228, 0, 0, 0, 31, 29, 288
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\RenderQueue.cpp", "C++", 0, 0, 0, 0, 0, 208, 0, 0, 0, 14, 27, 249
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Renderer.cpp", "C++", 0, 0, 0, 0, 0, 382, 0, 0, 0, 48, 69, 499
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\ShaderProgram.cpp", "C++", 0, 0, 0, 0, 0, 203, 0, 0, 0, 7, 35, 245
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\SubmissionContext.cpp", "C++", 0, 0, 0, 0, 0, 92, 0, 0, 0, 5, 7, 104
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Texture2D.cpp", "C++", 0, 0, 0, 0, 0, 120, 0, 0, 0, 6, 31, 157
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\Transform.cpp", "C++", 0, 0, 0, 0, 0, 62, 0, 0, 0, 45, 22, 129
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\UniformBuffer.cpp", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\VertexArray.cpp", "C++", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\VertexLayout.cpp", "C++", 0, 0, 0, 0, 0, 34, 0, 0, 0, 15, 7, 56
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\core\shadows\CascadedShadowMap.cpp", "C++", 0, 0, 0, 0, 0, 132, 0, 0, 0, 12, 17, 161
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\scene\LightBlock.cpp", "C++", 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 12, 75
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\scene\LightEnvironment.cpp", "C++", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 16, 82
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\scene\LightUtils.cpp", "C++", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\scene\RenderItem.cpp", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\scene\Scene.cpp", "C++", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 14, 86
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\opengl\utils\Options.cpp", "C++", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 13, 54
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\CMakeLists.txt", "CMake", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\DioramaScene.cpp", "C++", 0, 0, 0, 0, 0, 262, 0, 0, 0, 30, 42, 334
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\DioramaScene.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 17, 67
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\NeonCityScene.cpp", "C++", 0, 0, 0, 0, 0, 112, 0, 0, 0, 8, 23, 143
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\NeonCityScene.h", "C++", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 5, 26
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\SampleScene.cpp", "C++", 0, 0, 0, 0, 0, 245, 0, 0, 0, 45, 38, 328
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\SampleScene.h", "C++", 0, 0, 0, 0, 0, 43, 0, 0, 0, 12, 15, 70
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\SolarSystemScene.cpp", "C++", 0, 0, 0, 0, 0, 442, 0, 0, 0, 68, 66, 576
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\SolarSystemScene.h", "C++", 0, 0, 0, 0, 0, 80, 0, 0, 0, 16, 17, 113
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\test-app\src\main.cpp", "C++", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 11, 42
"Total", "-", 1377, 199, 121, 21, 283, 10553, 44, 341, 1762, 1897, 2271, 18869
